Unnamed: 0,line_text,speaker,temporada,episodio
21848,"Hey, can`t really talk now, what`s up?",Jim,Season 4,4x13
5392,Pam.,Dwight,Season 2,2x10
42020,Make time for romance!,Pam,Season 7,7x12
10710,"Is there anyway that you could do all, all of them?",Michael,Season 3,3x5
35686,Yes.,Pam,Season 6,6x16
15224,"Dwight, find out what the present is.",Michael,Season 3,3x19
26038,"Yeah, oh there you go.",Michael,Season 5,5x10
31855,"[talking quietly, trying not to move his lips]That is seriously going to impeed my ability to hook up with your female relatives.",Michael,Season 6,6x4
40764,Your kidding?!,Michael,Season 7,7x9
13929,Phyllis! Are you happy with everything? What can I do to make it more perfecter?,Michael,Season 3,3x15
25775,"Oh, there we go.",Michael,Season 5,5x9
14018,Here we go. College Roadshow. Gotta bring our... A game. What was the most inspiring thing I`ve ever said to you?,Michael,Season 3,3x16
50880,"[sarcastically] Oh my gosh, thank you Jim, that`s so thoughtful. [sets gift on golf tee] Four! [smashes gift] Oh yeah!",Dwight,Season 8,8x18
51041,[attempting to break from Jim`s grasp] Ah!,Dwight,Season 8,8x18
16295,That`s harsh.,Jim,Season 3,3x22
14075,"So, you wanna start a business. How do you start? What do you need? Well, first of all, you need a building. And secondly, you need supply. You need something to sell. Now this could be anything. It could be... a... thingamajig. Or a... a whosi-whatsi. Or... [pulls out a candy bar] a Whatchamacallit [throws bar]. Now, you need to sell those in order to have a PayDay [takes out a PayDay, throws it]. And, if you sell enough of them, you will make a 100 Grand [throws 100 Grand bar]. [pulls out a Snickers] Satisfied?",Michael,Season 3,3x16
19182,I`ll stay off the grid.,Michael,Season 4,4x4
4675,"Yeah, is that hard for you?  Alright, well-",Michael,Season 2,2x8
1081,Read it out loud. And say who wrote everything so we know whose is the best.,Michael,Season 1,1x4
889,"Oh, um... Jan wants you to call her.",Dwight,Season 1,1x3
21471,"[with petroleum jelly on his face] Hurry, please.",Michael,Season 4,4x12
17905,"[in Michael`s car] Sweet ride, American made. What happened to the Sebring?",Dwight,Season 4,4x2
18925,Great.,Dwight,Season 4,4x4
13337,Don`t. Don`t you dare. I want to know what you were doing this morning by the end of the day.,Michael,Season 3,3x12
14904,No!,Michael,Season 3,3x18
50480,"God, oh. So greasy, you should just shave all this.",Dwight,Season 8,8x16
58012,"Well, the alert was already set to `Red` because of Stairmageddon. You think I should set it to `Double Red`?",Dwight,Season 9,9x19
19277,Where`s Dwight?,Jim,Season 4,4x4
11337,Wow.,Jim,Season 3,3x7
27113,Whoa! What was that all about.,Jim,Season 5,5x14
56947,I don`t think you should go to Philly tonight. I think that you should stay and I think we should fight.,Pam,Season 9,9x15
9773,Check it out.,Dwight,Season 3,3x2
51701,And that`s noon. Exactly. [others groan],Jim,Season 8,8x21
56192,"Things are a little delicate with me and Pam right now. And if my working in Philly is gonna end up doubling the Dwight in her life, that`s only gonna make things worse.",Jim,Season 9,9x13
27512,She still has feelings for you.,Pam,Season 5,5x15
21363,Very nice.,Michael,Season 4,4x11
3335,Nothing.,Jim,Season 2,2x4
35661,"I`m texting about you, okay!?",Michael,Season 6,6x16
24652,"Boundaries, Dwight. Come on!",Michael,Season 5,5x6
54670,What?,Pam,Season 9,9x7
2538,At home? And I told everybody everything about it.,Michael,Season 2,2x2
15797,Huh?,Michael,Season 3,3x21
18121,"You didn`t set up your BlackBerry, Dwight?",Jim,Season 4,4x2
36825,"Okay, all right. Okay, whoa. I`m just kidding around. I`m sorry.",Michael,Season 6,6x19
8031,"Okay! Thank you Ryan. Good attitude, hottest in the office.",Michael,Season 2,2x18
12356,Like what?,Pam,Season 3,3x10
50099,"You didn`t poison me, it`s just stress.",Dwight,Season 8,8x15
2116,"Well, I`m looking forward to meeting Terri.",Michael,Season 2,2x1
33340,Oh. Thank you.  Thanks for lending me the books.,Michael,Season 6,6x8
29043,Are you good?,Pam,Season 5,5x20
25312,"Oh thanks, Phyllis.",Jim,Season 5,5x8
29711,I say we fill Michael`s office with bees.  My apiarist owes me a favor.,Dwight,Season 5,5x23
9113,"Jan and I understand each other. The romance thing is sort of on hold for the time being, but we`ve remained good friends. Good friends with privileges. Not now, some day.",Michael,Season 2,2x22
13192,Leave the keys!,Dwight,Season 3,3x12
36433,"How about this one - `When arrogant salesmen are mean to my face, a certain manager will go to his moppy place.`",Jim,Season 6,6x18
39470,Oscar! Think abou- Think! [door slams],Michael,Season 7,7x4
38115,"I don`t care. I have an appetite for life! [eats cake] Mmm. Mmm! Oh, god. That`s Lemon.",Michael,Season 6,6x23
35715,"[Pam screams as he approaches the door to their room]  Guys?  Hello?  Um, sorry to be a bother, but if we could have an ETA when this is gonna...",Michael,Season 6,6x16
36330,Dwight?,Michael,Season 6,6x18
41872,"I was in the mall, and I saw that, and I thought it had your name written all over it.",Michael,Season 7,7x11
36312,John Dillinger.,Jim,Season 6,6x18
25861,Thanks Michael.,Pam,Season 5,5x9
19581,I won`t need to because we`ll be together playing hooky.  Yeah.,Dwight,Season 4,4x6
59309,Right in the sweet spot. I think you`re gonna be really happy.,Jim,Season 9,9x22
17026,[to Angela] Are you coming?,Pam,Season 4,4x1
24847,Wow.,Pam,Season 5,5x6
26021,[whispers to Meredith] I`ll be down in a minute. [walks over to Toby] Could you write down the number of that rehabilitation center that you mentioned?,Michael,Season 5,5x10
2475,"I wish you luck, Toby. I really do. But you are going to have a mutiny on your hands and I just can`t wait to see how you handle it.",Michael,Season 2,2x2
28822,I think you should get dressed.,Pam,Season 5,5x20
33849,I think this was also the year he renounced Earth Day and vowed to the destroy the planet he once loved.,Jim,Season 6,6x10
7393,"The meeting isn`t `til three, but I always like to come to New York little bit early and hit some of my favorite hunts, like right here, is my favorite New York pizza joint. And I`m gonna go get me a New York slice. [Michael walks toward Sbarro.]",Michael,Season 2,2x16
10800,Do you...,Pam,Season 3,3x5
17476,Maybe she hit me.  You ever think of that?  She hit me?  I don`t know whose fault it was.  I wasn`t exactly looking at the road.,Michael,Season 4,4x1
661,Dwight`s health care memo. I told you about it.,Pam,Season 1,1x3
13695,"Yeah, me neither.",Jim,Season 3,3x14
10175,"Assistant to the regional manager.  Thank you Michael, for staying on.   I really appreciate it.",Dwight,Season 3,3x3
37669,"Tomorrow`s fertilizer, am I right?",Dwight,Season 6,6x22
6792,Yeah.,Michael,Season 2,2x14
39975,"It was a good idea, though.",Michael,Season 7,7x6
7213,Word.,Dwight,Season 2,2x15
219,Yeah?,Jim,Season 1,1x1
12162,"What is that, like... five pounds?",Jim,Season 3,3x9
39914,Oh. It`s a ream of paper. Thought you might hit me.,Michael,Season 7,7x6
41245,"She was lying. Oh, Pam, Pam...",Dwight,Season 7,7x10
25066,"...who works at our hotel.  You look, how do you say, radiant tonight.",Michael,Season 5,5x7
16867,Yeah.  Kinda feel bad for her though.,Jim,Season 3,3x23
40842,"Yeah, it`s not as fun if I`m not blowing off work.",Jim,Season 7,7x9
53939,"Dumatril is licensed to treat anxiety symptoms, such as panic attacks, excessive worrying, and fear. Translation: There`s a madman in our midst.",Dwight,Season 9,9x5
8105,"Thanks, that`s, no, that... that really means a lot to me. Hey, does Sasha have a godfather, because I...",Michael,Season 2,2x18
3471,"Oh, the best.",Jim,Season 2,2x4
12269,"But the paint`s chipping. Is that your old bike, Michael?",Jim,Season 3,3x10
44899,So this is my life.  Until I win the lottery [laughs].  Or Pam finally writes that series of young adult books.,Jim,Season 7,7x22
26890,"Uh, no one really knows, but Pam`s parents are going through a little bit of a rough patch in their marriage.",Jim,Season 5,5x13
21570,You.,Dwight,Season 4,4x12
25638,Yes.,Michael,Season 5,5x9
32677,Frank and beans!,Jim,Season 6,6x6
25574,"[over indistinct conversation] Good? Yeah, he said good, I`m good...",Pam,Season 5,5x9
27248,Old hatreds dissolve into new friendships. It`s a really wonderful moment.,Michael,Season 5,5x14
10776,Night.,Pam,Season 3,3x5
46693,"[giggling] Oh, wow. Funny. It`s after my grandfather.",Pam,Season 8,8x4
18547,I think you`re under-thinking it.,Jim,Season 4,4x3
2954,"Yeah, well, you know what? Nobody cares about your stupid beet farm. Beets are the worst.",Michael,Season 2,2x3
9416,What?,Pam,Season 2,2x22
1221,"There`s not going to be downsizing, Dwight. You know what, I am on a deadline here and just, okay. Thanks. Thanks for your help. I`m... I`ll work it out. Thank you Dwight. [Dwight leaves] Thanks for coming in, that`s always... Always helpful when I give him a call. Call him in.",Michael,Season 1,1x4
30812,Then come back here for your next assignment concerning their order.,Dwight,Season 6,6x1
33921,Ok.,Jim,Season 6,6x10
29733,I would love that.,Michael,Season 5,5x23
47139,"I`m not gonna lie to her, either.",Pam,Season 8,8x5
1365,Whoa.,Jim,Season 1,1x5
8616,"Yes, I will not be.",Michael,Season 2,2x20
1931,"What`s the um, saying, `once their laughing they`re... that`s... Once they`re laughing that`s 50 percent of them being horizontal. So, not that I`m just... Not that that`s my... that`s what I`m trying to do, but I think it helps kind of melts the ice. Breaks the ice, melts... Breaks the ice and melts them. Melts their hearts.",Michael,Season 1,1x6
8370,Yaoo yay! [claps],Dwight,Season 2,2x19
16910,"Oh, no, absolutely.",Jim,Season 3,3x23
27453,"[grunts] Your life. [sits down, upset] Oh, wow. Whew. Ahh, legs are sorta giving out. Long drive in the car, so let`s just- We`ll just continue. [sighs, falls to floor, gets more upset] Oh, wow. [takes deep breath] Ooh, okay.",Michael,Season 5,5x15
56086,"[recorded on phone] Excuse me, I have to get back to work.",Pam,Season 9,9x12
28491,"[Michael has a `sticky-hand` toy and snags a paper off Jim`s desk and then laughs] About a week ago, Michael gave his 2-week notice. And, surprisingly there is a very big difference between Michael trying and Michael not trying.",Jim,Season 5,5x19
58612,Watching?,Dwight,Season 9,9x21
3029,...wall-to-wall carpets...,Michael,Season 2,2x3
33055,I`m not usually the butt of the joke. I`m usually the face of the joke. I wish Jim had fallen into that pond and he`d have to put on my suit and it`d be too short and he`d look... Damn it! He`d still look good.,Michael,Season 6,6x7
38350,Really?,Jim,Season 6,6x24
15334,"OK. careful, thanks. [takes bullhorn from Andy]",Jim,Season 3,3x19
11606,I know everything about film. I`ve seen over 240 of them.,Dwight,Season 3,3x8
33740,"OK, I`m going back to work.",Jim,Season 6,6x9
37359,"Well, the joke was on you.",Jim,Season 6,6x21
8892,"Okay, question. [looks at Toby] When a name is withdrawn, does that also apply to the permanent misbehavior file in New York?",Dwight,Season 2,2x21
16618,You`re so much happier now. Just go in there and be strong.,Pam,Season 3,3x23
41203,"He`s trying to set you up Michael. What`s going to happen is he`s going to try and bring up what ever you`re talking about in a very casual way, but secretly he`ll be trying to trip you up, and when he does, boom, its awful. Haven`t you noticed that I don`t bring up the Tour de France around him?",Jim,Season 7,7x10
20699,Everybody enjoying their meal?,Michael,Season 4,4x9
52753,Perhaps your year of experience managing this branch will come in handy.,Jim,Season 8,8x24
51434,I`m still not sure why this woman is even here.,Pam,Season 8,8x20
21929,Okay.,Pam,Season 4,4x13
16379,Just one.,Jim,Season 3,3x22
36415,[holds up card] This one`s a map.,Jim,Season 6,6x18
28926,Excuse me. Yes?,Michael,Season 5,5x20
20926,"Oh, that`s not, yeah I`m not... OK...",Michael,Season 4,4x10
16070,Not it. I don`t have eggs.,Michael,Season 3,3x22
11490,Here... Who`s here?,Michael,Season 3,3x8
51674,Hey Hank.,Pam,Season 8,8x20
30892,[approaching Michael] You have to stop this.,Jim,Season 6,6x1
16766,"Instead, today I will begin my first lecture in a long series of lectures designed to increase your knowledge on the world of paper.",Dwight,Season 3,3x23
7278,"It`s a complete... well, actually it`s exactly what you`d expect, so... How are the girls?",Jim,Season 2,2x15
3119,This smells of fraud to me. This whole thing just kind of stinks.,Michael,Season 2,2x3
47633,You don`t find Cathy attractive?,Pam,Season 8,8x7
58376,"Thank you. I like being appreciated. But, to speak my truth, it wasn`t out of the way because I felt like a tea anyway. So, one trip.",Jim,Season 9,9x20
12009,"All right. Good. Thank you. [Andy picks a card] Do not look at your card. Now, I`ve always said that to be a great salesman is to have the ability to connect with people right here [puts hand over heart]. So to be a great salesman is to be a king of hearts. Turn over your card.",Michael,Season 3,3x8
26776,That`s not gonna happen. I`m taking over as safety man.,Michael,Season 5,5x13
1930,"Yeah, yeah he is the worst.",Michael,Season 1,1x6
47177,Thank you.,Pam,Season 8,8x5
16252,"Yeah, right.",Dwight,Season 3,3x22
29464,"And no, I cannot lower my current prices. [phone rings] Hold on. Hello? Mr. Schofield, thank you so much for taking the time to talk. I wanted to discuss your contract with us- oh, you`re considering him. I thought Michael Scott left the paper business after his nervous breakdown.",Dwight,Season 5,5x22
351,"Excuse me, I`m sorry, but that`s not all it takes to be a hero.",Dwight,Season 1,1x2
18432,Uh...,Michael,Season 4,4x3
1063,[box falls over] Oh.,Dwight,Season 1,1x4
7106,Roy and Pam. It`s a Ram. It`s a Ram thing.,Michael,Season 2,2x15
13576,We will demonstrate on Pam.,Michael,Season 3,3x14
29493,"[Michael, Ryan and Pam sitting at restaurant, phone rings] Oh. Dwight-elicious. Where you at?",Michael,Season 5,5x22
6106,No.,Pam,Season 2,2x12
44684,"Listen Michael, I really... I did text Pam, but...",Jim,Season 7,7x21
41515,"Oh, do you mean Darryl? That`s a great idea. I`ll ask him.",Pam,Season 7,7x11
29325,Doesn`t Charles know he`s compromising my attack readiness? It`s not a dress code. It`s a death sentence.,Dwight,Season 5,5x22
53328,"How did you know? No! No, no! That is sensitive information only for employees, not outsiders!",Dwight,Season 9,9x3
23011,"So as it turns out, tonight is my nephews T-ball game and I kinda missed the first three, so...",Jim,Season 5,5x1
18242,What?,Jim,Season 4,4x3
56435,"Welcome to the club, pig! [laughs]",Dwight,Season 9,9x13
57137,"No, it`s a lot better than it sounds. There`s a private shower area. Very tasteful, very rustic.",Dwight,Season 9,9x16
31912,Knight Rider.,Dwight,Season 6,6x4
16394,I think they were just having fun.,Pam,Season 3,3x22
8420,...It`s something to think about.,Jim,Season 2,2x19
9239,Yeah?,Michael,Season 2,2x22
2247,"Um, I just wanted to say thanks.",Pam,Season 2,2x1
9516,Why did I transfer to Stamford?  I think that`s pretty obvious.  I got promoted!  And you can`t beat that view... right?,Jim,Season 3,3x1
16707,[points at bearded man] Who`s that?,Jim,Season 3,3x23
39568,You don`t?,Pam,Season 7,7x5
9201,Do I know a Carol Stills?,Michael,Season 2,2x22
32967,They are into style.,Michael,Season 6,6x7
40930,"We Don`t? Well, why have I been separating the trash into whites and colors?",Michael,Season 7,7x9
37754,"Oh, my God. Look at how cheap street level rooms are. Am I the only person who enjoys people watching?",Michael,Season 6,6x22
59299,"OK, I don`t have my pocket code chart on me, right now, so.",Jim,Season 9,9x22
25921,Merry Christmas.,Dwight,Season 5,5x10
17608,Yeah.,Pam,Season 4,4x2
41316,"I am talking about freedom, about choice. America, I don`t think you need to worry. Because if you want to beat China you will. If you don`t, that`s fine. That my friend, is your victory. Y`know, a lot of people say if you dig long enough and hard enough you will get to China, and that may be the true, but what they don`t tell you is that if you dig long enough and hard enough in a conversation, you get to a friend. So here is to conversation.",Michael,Season 7,7x10
31741,There`s... a name.,Michael,Season 6,6x4
29238,Hey Pam.,Michael,Season 5,5x21
35232,Manuel who?,Michael,Season 6,6x15
17884,Yes?,Michael,Season 4,4x2
44263,"Now hit me. [DeAngelo slaps him] One, two, three.",Michael,Season 7,7x20
26640,"No no no, I can`t let you do this!",Dwight,Season 5,5x12
25567,"Okay, break it down in terms of, um... okay, I-I think I`m getting you...",Michael,Season 5,5x9
25469,"Yeah, let`s just cancel this, okay?",Michael,Season 5,5x8
45146,"Hello, Jo. Welcome. Well, shall we begin?",Dwight,Season 7,7x23
43593,Not so fast.,Dwight,Season 7,7x18
57181,"Hi, Pam, hello.",Pam,Season 9,9x16
58304,And we`re also supposed to speak our truths.,Pam,Season 9,9x20
37731,[to Pam] What?,Jim,Season 6,6x22
24004,350,Michael,Season 5,5x4
32195,And... and the love of my life is dating somebody else.,Michael,Season 6,6x4
45978,"I insist. It is gonna be our treat, please?",Dwight,Season 8,8x1
4984,I was wondering-,Dwight,Season 2,2x9
36771,Vegetarian?,Dwight,Season 6,6x19
27924,Too many words. Good ideas are simple. `Golden ticket.`,Michael,Season 5,5x17
37215,La telefona.,Michael,Season 6,6x21
8779,"Oh, thanks!",Pam,Season 2,2x21
36411,"Ahh, these aren`t leads. What are they?",Jim,Season 6,6x18
18665,Mmm.,Michael,Season 4,4x3
25908,What is it?,Jim,Season 5,5x10
37318,What if I back out and you finish the pitch with Jim?,Pam,Season 6,6x21
32615,Some candy.,Pam,Season 6,6x6
3673,I can`t. I... I suppose I coul... no. They never really made me an offer anyway.,Dwight,Season 2,2x5
58600,Just slip it off my`Slip it off my hips.,Dwight,Season 9,9x21
49619,"Angela, this child is definitely mine. He looks just like me.",Dwight,Season 8,8x13
26121,"Go, Oscar. Thirty-one`s my number.",Michael,Season 5,5x11
31286,"Michael, did you say anything?",Jim,Season 6,6x2
13026,I...,Michael,Season 3,3x11
40408,Blah-di-blah!,Michael,Season 7,7x7
55292,I`ll call you when I get in.,Jim,Season 9,9x9
58711,"Yeah, totally you did.",Jim,Season 9,9x21
53697,"Alright, alright, gang. Let`s just settle down. You`re yelling in her face.",Jim,Season 9,9x4
31097,"No, no, I can do this.",Michael,Season 6,6x1
50752,I just had a baby.,Pam,Season 8,8x17
42586,And the final clue...,Jim,Season 7,7x14
26917,So he doesn`t share it with his daughter but he shares it with his daughter`s fiance?,Pam,Season 5,5x13
6830,Ahem.  What`s up?,Michael,Season 2,2x14
53886,But as Jim and I discovered...  No! ... any blow to the pumpkin itself could prove fatal to me.,Dwight,Season 9,9x5
41917,"No, it`s, it`s okay. Okay.",Jim,Season 7,7x11
31946,"I know. I can`t believe it was you, either. I actually think it takes a lot of pressure off of me.",Michael,Season 6,6x4
43717,I had a great idea until you ruined it.,Michael,Season 7,7x18
39758,"No, no, no, no.",Jim,Season 7,7x5
1682,"So, what? You`re Assistant Regional Manager.",Jim,Season 1,1x6
21252,"[on phone] Oh thank you Hank. You are a lifesaver, Hank. Appreciate it. [to office co-workers] Alright, so Hank is gonna come down here and he`s gonna let us all out. [lowers voice] He said it should just be under an hour, so... [everyone groans] we did it.",Jim,Season 4,4x11
30792,"Yeah! [Dwight jumps on Andy`s back, riding him like a horse] Parkour! Parkour!",Dwight,Season 6,6x1
26170,[whispering to Jim] Trade seats with me.,Dwight,Season 5,5x11
53045,Yeah. I`m afraid he`s only gonna have hot dogs.,Pam,Season 9,9x2
9212,"Great. It has a little bit of a weird smell. It`s okay. At Christmas, the tree helped.",Michael,Season 2,2x22
9051,"I hate it when people don`t tell each other why they`re angry. My dad was like that. I would say, `What`s wrong, Dad? What`s wrong, Dad? What`s wrong, Dad? What`s wrong, Dad? What`s wrong, Dad? What`s wrong, Dad?` Over and over and over. And he would just look at me like I was an idiot.",Michael,Season 2,2x21
25691,Yes they were.,Michael,Season 5,5x9
25585,Michael?,Pam,Season 5,5x9
35222,"La la la, hello Oscar!",Michael,Season 6,6x15
16305,"Count the other way. Count... no, no, count one, two, three, not three, two, one.",Michael,Season 3,3x22
14910,"I`m sorry too.  I just, I think that we both made some bad choices.",Pam,Season 3,3x18
