,line_text,speaker,temporada,episodio
24,"[Strains, grunts] What?",Michael,Season 1,1x1
25,Nothing.,Jim,Season 1,1x1
26,OK. All right. See you later.,Michael,Season 1,1x1
27,All right. Take care.,Jim,Season 1,1x1
28,Back to work.,Michael,Season 1,1x1
30,"Corporate really doesn't really interfere with me at all. Jan Levinson Gould. [walking out of his office] Jan, hello.  I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.",Michael,Season 1,1x1
32,Um... Me no get an agenda.,Michael,Season 1,1x1
34,I didn't get any agenda.,Michael,Season 1,1x1
36,Really? I didn't... [looks at Pam] Did we get a fax this morning?,Michael,Season 1,1x1
37,"Uh, yeah, the one...",Pam,Season 1,1x1
38,"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?",Michael,Season 1,1x1
39,You put in the garbage can that was a special filing cabinet.,Pam,Season 1,1x1
40,"Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes.",Michael,Season 1,1x1
42,"Yeah, yeah. Lovely. Thank you.",Michael,Season 1,1x1
44,OK...,Michael,Season 1,1x1
46,"No, no, no, no, this is good. This is good. This is fine. Excellent.",Michael,Season 1,1x1
48,All the alarm bells are kind of going... ringie-dingie-ding!,Michael,Season 1,1x1
50,OK. No problem.,Michael,Season 1,1x1
52,"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?",Michael,Season 1,1x1
53,"Question. How long do we have to... [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",Michael,Season 1,1x1
55,Packman.,Michael,Season 1,1x1
57,"Oh, that's not appropriate.",Michael,Season 1,1x1
59,"Uh, I don't know what you mean.",Michael,Season 1,1x1
61,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",Michael,Season 1,1x1
63,"No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that.",Michael,Season 1,1x1
69,I have an important question for you.,Pam,Season 1,1x1
70,Yes?,Jim,Season 1,1x1
71,Are you going to Angela's cat party on Sunday?,Pam,Season 1,1x1
72,"Yeah, stop. That is ridiculous.",Jim,Season 1,1x1
73,"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer.",Michael,Season 1,1x1
74,Hey.,Michael,Season 1,1x1
76,This is Mr. Scott.,Pam,Season 1,1x1
77,Guilty! Guilty as charged!,Michael,Season 1,1x1
79,"Howard, like Moe Howard. Three Stooges.",Michael,Season 1,1x1
81,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! [hold hand up for a high five] Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go. [Yelling in cod German] I'm Hitler. Adolf Hitler. [Continues with cod German]",Michael,Season 1,1x1
82,"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good.",Pam,Season 1,1x1
83,Dunder Mifflin. This is Pam.,Pam,Season 1,1x1
84,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",Jim,Season 1,1x1
85,What?,Dwight,Season 1,1x1
86,What are you doing?,Jim,Season 1,1x1
87,Just clearing my desk. I can't concentrate.,Dwight,Season 1,1x1
88,It's not on your desk.,Jim,Season 1,1x1
89,"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation.",Dwight,Season 1,1x1
90,You can't do that.,Dwight,Season 1,1x1
91,Why not?,Jim,Season 1,1x1
92,Safety violation. I could fall and pierce an organ.,Dwight,Season 1,1x1
93,[crosses fingers] We'll see. [Dwight begins smashing pencils with his phone] This is why the whole downsizing thing just doesn't bother me.,Jim,Season 1,1x1
94,Downsizing?,Dwight,Season 1,1x1
95,"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.",Dwight,Season 1,1x1
96,You just still have these messages from yesterday.,Pam,Season 1,1x1
97,"Relax. Everything's under control. Uh, yeah. Yeah. That's important. Right. Oh this is so important, I should run to answer it. [Imitating Six-Million Dollar Man sound effect]",Michael,Season 1,1x1
98,What?,Pam,Season 1,1x1
99,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise.",Michael,Season 1,1x1
100,Don't we all?,Pam,Season 1,1x1
101,I'm sorry?,Michael,Season 1,1x1
102,Nothing.,Pam,Season 1,1x1
103,"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. [Sighs]",Michael,Season 1,1x1
104,"I think I'm a role model here. I think I garner people's respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",Michael,Season 1,1x1
105,"People I respect, heroes of mine, would be Bob Hope... Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it's really beyond words. It's really incalculable.",Michael,Season 1,1x1
106,Now I know there's some rumors out there and I just kind of want to set the record straight.,Michael,Season 1,1x1
107,I'm Assistant Regional Manager. I should know first.,Dwight,Season 1,1x1
108,Assistant to the Regional Manager.,Michael,Season 1,1x1
109,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",Dwight,Season 1,1x1
110,I'm about to tell everybody. I'm just about to tell everybody.,Michael,Season 1,1x1
112,"Please, OK? Do you want me to tell 'em?",Dwight,Season 1,1x1
113,You don't know what it is. [Laughs],Michael,Season 1,1x1
114,OK. You tell 'em. With my permission. Permission granted.,Dwight,Season 1,1x1
115,I don't need your permission.,Michael,Season 1,1x1
116,Go ahead.,Dwight,Season 1,1x1
117,Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.,Michael,Season 1,1x1
120,Not gonna happen.,Michael,Season 1,1x1
122,"It won't be out of my hands Stanley, OK. I promise you that.",Michael,Season 1,1x1
124,On his mother's grave.,Dwight,Season 1,1x1
125,No.,Michael,Season 1,1x1
127,"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it.",Michael,Season 1,1x1
129,"I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.",Michael,Season 1,1x1
130,I was in the meeting with Jan and she did say that it could be this branch that gets the axe.,Pam,Season 1,1x1
132,"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",Michael,Season 1,1x1
133,"Pam, information is power.",Dwight,Season 1,1x1
135,"No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin.",Michael,Season 1,1x1
136,"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry.",Jim,Season 1,1x1
137,"Jim said mixed berries? Well, yeah, he's on to me. Um... [Laughs]",Pam,Season 1,1x1
138,"Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.",Michael,Season 1,1x1
140,Introduce yourself. Be polite.,Michael,Season 1,1x1
141,"Dwight Schrute, Assistant Regional Manager.",Dwight,Season 1,1x1
142,"Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.",Michael,Season 1,1x1
143,"Uh... yeah I got a '78 280Z. Bought it for $1,200. Fixed it up. It's now worth three grand.",Dwight,Season 1,1x1
144,That's his profit.,Michael,Season 1,1x1
145,"New engine, new suspension, I got a respray. I've got some photos.",Dwight,Season 1,1x1
146,Damn it! Jim!,Dwight,Season 1,1x1
147,"OK. Hold on, hold on. The judge is in session. What is the problem here?",Michael,Season 1,1x1
148,He put my stuff in Jell-O again.,Dwight,Season 1,1x1
149,[Laughing],Pam,Season 1,1x1
150,That's real professional thanks. That's the third time and it wasn't funny the first two times either Jim.,Dwight,Season 1,1x1
151,"It's OK here, but people sometimes take advantage because it's so relaxed. I'm a volunteer Sheriff's Deputy on the weekends. And you cannot screw around there. That's sort of one of the rules.",Dwight,Season 1,1x1
152,What is that?,Michael,Season 1,1x1
153,That is my stapler.,Dwight,Season 1,1x1
154,"No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world [turns to camera] which I hate, and it is a waste of that kind of food.",Michael,Season 1,1x1
155,"OK you know what, you can be a witness. [points to Ryan] Can you reprimand him?",Dwight,Season 1,1x1
156,How do you know it was me?,Jim,Season 1,1x1
157,It's always you. Are you going to discipline him or not?,Dwight,Season 1,1x1
158,"Discipline. Kinky! [Laughs] All right, here's the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.",Michael,Season 1,1x1
159,Yeah.,Dwight,Season 1,1x1
160,"And yeah, Jim this is the time to stop putting Dwight's personal effects into Jell-O.",Michael,Season 1,1x1
161,"OK. Dwight, I'm sorry, because I have always been your biggest flan.",Jim,Season 1,1x1
162,[Laughing] Nice. That's the way it is around here. It just kind of goes round and round.,Michael,Season 1,1x1
164,Hey! Yes! New guy! He scores.,Michael,Season 1,1x1
165,"OK, that's great. I guess what I'm most concerned with is damage to company property. That's all.",Dwight,Season 1,1x1
166,Pudding. Pudding... I'm trying to think of another dessert to do.,Michael,Season 1,1x1
167,Do you like going out at the end of the week for a drink?,Jim,Season 1,1x1
168,Yeah.,Pam,Season 1,1x1
169,That's why we're all going out. So we can have an end-of-the-week-drink.,Jim,Season 1,1x1
170,So when are we going out?,Pam,Season 1,1x1
171,"Tonight, hopefully.",Jim,Season 1,1x1
172,OK. Yeah.,Pam,Season 1,1x1
174,What's going on?,Jim,Season 1,1x1
176,Hey.,Pam,Season 1,1x1
177,Roy's my fiance. We've been engaged about three years. We were supposed to get married in September but I think we're gonna get married in the spring.,Pam,Season 1,1x1
178,Do you mind if I go out for a drink with these guys?,Pam,Season 1,1x1
180,OK. I'm gonna be a few minutes. So it's only twenty past five. I still have to do my faxes.,Pam,Season 1,1x1
181,You know what? You should come with us. Because you know we're all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.,Jim,Season 1,1x1
183,"Yeah, yeah.",Jim,Season 1,1x1
184,Um... What's in the bag?,Jim,Season 1,1x1
186,"No, definitely. All right, dude. Awesome. Will do.",Jim,Season 1,1x1
187,Do I think I'll be invited to the wedding? [scratches head],Jim,Season 1,1x1
188,"So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I've created here is that I'm a friend first, and a boss second... and probably an entertainer third. [Knock at door] Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk'd and all that kind of stuff?",Michael,Season 1,1x1
190,"You are gonna be my accomplice. Just go along with it, OK?",Michael,Season 1,1x1
192,"Just follow my lead. Don't pimp me, all right? Come in. So, uh, Corporate just said that I don't want to...",Michael,Season 1,1x1
193,You got a fax.,Pam,Season 1,1x1
194,"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",Michael,Season 1,1x1
195,What? Why?,Pam,Season 1,1x1
196,"Why? Well, theft and stealing.",Michael,Season 1,1x1
197,Stealing? What am I supposed to have stolen?,Pam,Season 1,1x1
198,Post-it Notes.,Michael,Season 1,1x1
199,"Post-it Notes? What are those worth, 50 cents?",Pam,Season 1,1x1
200,"50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know,  you've made a profit... margin. You're gonna run us out of business, Pam.",Michael,Season 1,1x1
201,Are you serious?,Pam,Season 1,1x1
202,Yeah. I am.,Michael,Season 1,1x1
203,I can't believe this. I mean I have never even stolen as much as a paperclip and you're firing me.,Pam,Season 1,1x1
204,But the best thing about it is that we're not going to have to give you any severance pay. Because that is gross misconduct and... Just clean out your desk. I'm sorry.,Michael,Season 1,1x1
205,"[Pam starts crying] You been X'd punk! [Laughing] Surprise! It's a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you... God, we totally got you.",Michael,Season 1,1x1
206,You're a jerk.,Pam,Season 1,1x1
207,I don't know about that.,Michael,Season 1,1x1
208,"What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It's the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, 'Mr. Scott, would you be the godfather of my child?' Wow. Wow. Didn't work out in the end. We had to let him go. He sucked.",Michael,Season 1,1x1
209,Hey.,Pam,Season 1,1x1
210,Hey.,Jim,Season 1,1x1
211,How are things?,Jim,Season 1,1x1
212,Good. I thought you were going out for a drink with...,Pam,Season 1,1x1
213,"Oh no, I just decided not to. How's your headache?",Jim,Season 1,1x1
214,"It's better, thanks.",Pam,Season 1,1x1
215,Good. Good.,Jim,Season 1,1x1
216,Yeah.,Pam,Season 1,1x1
217,That's great,Jim,Season 1,1x1
218,Is...?,Pam,Season 1,1x1
219,Yeah?,Jim,Season 1,1x1
220,Um... Are you...,Pam,Season 1,1x1
221,Am I walking out?,Jim,Season 1,1x1
222,Yes.,Pam,Season 1,1x1
223,"Yes, I... Do you want to...",Jim,Season 1,1x1
224,Yeah.,Pam,Season 1,1x1
225,Great. Let me just...,Jim,Season 1,1x1
226,"[Car horn honking] Oh, Roy.",Jim,Season 1,1x1
227,"Yeah. Listen, have a nice weekend.",Pam,Season 1,1x1
228,"Yeah, definitely. You too. Enjoy it. [looks at camera] You know what, just come here.",Jim,Season 1,1x1
229,"Dwight Schrute. My father's name, also Dwight Schrute. My grandfather's name, Dweide Schrude, Amish. That's my family. I don't know where they came, the Amish, came from originally. Uh, Amland.",Dwight,Season 1,1x1
230,[holding up a Dundie and pretending it is talking] Hello. I'm Michael Scott. I'm the best boss in the world.,Michael,Season 1,1x1
231,"My name is Jim Halpert and I am a sales rep, which is a very important job. Um, without me dozens literally dozens of small businesses would go paperless.  They would have to write on their hands, or bed sheets, or who knows you know. Total chaos, total chaos. I mean or they could get their paper somewhere else. Staples maybe. I don't know.",Jim,Season 1,1x1
232,"Pam! Pam-Pam! Pam has been with us for...  forever. Right, Pam?",Michael,Season 1,1x1
233,I guess.,Pam,Season 1,1x1
234,"Yeah, at one time or another every guy in the office has sprayed on Pam.",Michael,Season 1,1x1
235,What?,Pam,Season 1,1x1
236,Messages?,Michael,Season 1,1x1
237,"People respond to the human touch and that's what I give them. I can look at a client and I can say, 'Hello, how are you? How's business been going?' And we can go back and forth for sometime and uh, then I'll say, How much, how many reams do you want?' And they'll order it and then I'll take care of all the sales. I'll make sure that they get that paper. And they appreciate that.",Dwight,Season 1,1x1
238,"Ah, right here. Three Stooges. High five. [Michael and Ryan high five] Oh, Pam. It's a guy thing, Pam. [camera cuts to Pam then back to Michael] Now, who was the one before Curly?",Michael,Season 1,1x1
240,Curly? Very good. Curly Joe DeRita.,Michael,Season 1,1x1
242,"Well, comedy's kinda my thing. Watch this, here's Curly Joe. Mmm. Me, me, me, me, me, me. Me, me, me, me, me, me. Oh, I forgot. Here we go. [Yelling in cod German] I'm Hitler. Right. [Continues with cod German] Me, me, me, me, me, me. Curly Joe Hitler. [laughs]",Michael,Season 1,1x1
243,"All these people are walking around and they're happy and their lives are just going along, ignorance is bliss. But if they knew what was lurking on the other side of that fence that furry monster. [imitating monster] 'I'm gonna get you, downsizing.' No. They wouldn't... They'd freak. And I'm not going to play God. They look to me for support. And they look to me for guidance and leadership. And I think if I could lie to them and it serves them, then that's what I'm going to do.",Michael,Season 1,1x1
244,"So this is our sales staff. They are the ones who are making calls and making us lots of money. [comes to a screeching halt and laughs] This is accounting. The numbers dudes. Do not let the job description fool you, they are all completely crazy. Especially that guy, he is a mental patient. [camera zooms in on Kevin] Not literally of course, that wouldn't work. The last place you'd want somebody like that is accounting. [hides behind office plant] 'Very interesting, but stupid.' Artie Johnson. It's a crazy place.",Michael,Season 1,1x1
253,"What you don't know... Well, it can hurt you, but if you don't know it won't hurt you. Then, you can just be happy for a little while at least.",Michael,Season 1,1x1
254,What's that?,Michael,Season 1,1x1
255,Wired.,Pam,Season 1,1x1
256,"Oh, John Belushi. What a crazy guy. Phew, freaked myself out this morning.",Michael,Season 1,1x1
257,"Oh, yeah.",Pam,Season 1,1x1
258,"Yeah. I thought I found a lump. I checked the, uh... I check the jewels every month. This time... You know, it's a little different. It was fine. It was fine. But freaky, man, you know. Testicular cancer, God. Cancer, whoa testicles. So... What's, um... What you eating?",Michael,Season 1,1x1
259,Smoked turkey.,Pam,Season 1,1x1
260,"Oh, place around the corner. Nice. All right. See you later.",Michael,Season 1,1x1
261,Do I need to speak up? [grabs boom microphone] Hello.,Michael,Season 1,1x1
263,That's fine.,Dwight,Season 1,1x1
265,I'm sorry it makes me nervous.,Dwight,Season 1,1x1
267,"I understand. It's in a blind spot because I'm trained in several martial arts and one of them, uh, includes, uh, an awareness that the masters bring, uh, of anything on all sides of you. It could be behind you or whatever. This is directly in a blind spot, so I'm trained to respond negatively to something right above my head. [new take] This now I have an eye on. You see, it's on my periphery and if I needed to block it, attack it, stop it somehow. [does a martial arts move with his hands] I could come right out. I mean, I know you're doing your job, but... Documentary Crew Member: [talking over Dwight] It's...",Dwight,Season 1,1x1
268,I'm doing my job.,Dwight,Season 1,1x1
269,"I think better to be a happy idiot then a, um... Then someone who knows the truth.",Michael,Season 1,1x1
270,"Hey, uh, can I help you out in here?",Michael,Season 1,1x2
272,Gotcha. Good. I'd go with the rows. That's a good idea.,Michael,Season 1,1x2
273,"Today is diversity day and someone's going to come in and talk to us about diversity. It's something that I've been pushing, that I've been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think it's very important that we have this. I'm very, very excited.",Michael,Season 1,1x2
274,"That's the thing. It's very sturdy paper and on the back it says, '100% post-consumer content.' What? Hello? Uh-huh. Wait. What? I'm sorry, Mr. Decker. I think I'm losing you. [Shedder whirring] Hello? Hello? Yeah. Hold on one second. I don't know. Hold on one second.",Jim,Season 1,1x2
275,Do you really have to do that right now?,Jim,Season 1,1x2
276,Yes I do. I should have done it weeks ago actually.,Dwight,Season 1,1x2
277,"Mr. Decker, I'm sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks. [Power off, silence] Hello? That's it. Perfect. So what I was saying... [Dialing tone] Hello? Thanks, Dwight.",Jim,Season 1,1x2
278,Retaliation. Tit for tit.,Dwight,Season 1,1x2
279,That is not the expression.,Jim,Season 1,1x2
280,"Well, it should be.",Dwight,Season 1,1x2
281,"This is my biggest sale of the year. They love me over there for some reason. I'm not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year I'm pushing recycled paper on them for one percent more. I know. I'm getting cocky. Right?",Jim,Season 1,1x2
282,Solitaire?,Jim,Season 1,1x2
283,"Yeah, Freecell.",Pam,Season 1,1x2
284,Six on seven.,Jim,Season 1,1x2
285,I know. I saw that.,Pam,Season 1,1x2
286,"So then, why didn't you do it?",Jim,Season 1,1x2
287,I'm saving that 'cause I like it when the cards go T-ts-ts-tch-tch-tch.,Pam,Season 1,1x2
288,Who doesn't love that?,Jim,Season 1,1x2
289,"Hey, Oscar! How are you doing, man?",Michael,Season 1,1x2
291,Did you have a good weekend going there?,Michael,Season 1,1x2
293,"Oh yeah, I bet it was fun. [to Mr. Brown] Oh, hey! This is Oscar---",Michael,Season 1,1x2
295,"Right. See? I don't even know, first-name basis!",Michael,Season 1,1x2
297,"Oh hey, well, diversity, everybody, let's do it. Oscar works in... here. Jim, could you wrap it up, please?",Michael,Season 1,1x2
298,"Yeah, uh, Mr. Decker, please.",Jim,Season 1,1x2
299,"It's diversity day, Jim. I wish every day was diversity day.",Michael,Season 1,1x2
300,You know what? I'm actually going to have to call you back. Thank you. Sorry about that.,Jim,Season 1,1x2
302,"Come on people, let's get 'em in. Get in the cards! Get in the cards!",Michael,Season 1,1x2
304,"You know what? This is a color-free-zone here. Stanley, I don't look at you as another race.",Michael,Season 1,1x2
306,"Exactly, were not...",Michael,Season 1,1x2
308,With tolerance.,Michael,Season 1,1x2
310,Ignorance.,Michael,Season 1,1x2
312,Let's celebrate.,Michael,Season 1,1x2
314,Celebrate good times. Come on! Let's celebrate diversity. Right?,Michael,Season 1,1x2
316,You know what? Here's what we're going to do. Why don't we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.,Michael,Season 1,1x2
317,I have two. White and Indian.,Dwight,Season 1,1x2
319,Yes.,Michael,Season 1,1x2
321,OK.,Michael,Season 1,1x2
323,A few of the ground rules?,Dwight,Season 1,1x2
324,"Hey, hey why don't you run it by me and I'll run it by him.",Michael,Season 1,1x2
325,"OK, can we steer away from gay people?",Dwight,Season 1,1x2
327,"I'm sorry. It's an orientation. It's not a race. Plus a lot of other races are intolerant of gays, so...paradox.",Dwight,Season 1,1x2
329,I figured it would save time.,Dwight,Season 1,1x2
330,OK. Why don't we just defer to Mr...,Michael,Season 1,1x2
332,"Ah. Oh, right! OK. First test. I will not call you that.",Michael,Season 1,1x2
334,"How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I'm white and Chris is black?",Michael,Season 1,1x2
336,I will play the Chris Rock guy. I would like to see someone else pull this off.,Michael,Season 1,1x2
338,"OK, I will play guy listening.",Michael,Season 1,1x2
342,OK.,Michael,Season 1,1x2
343,Kevin is a great guy. He's a great accountant. He is not much of an entertainer.,Michael,Season 1,1x2
345,"OK. I'm sorry. I'm sorry. He's ruin... He's butchering it. Could you just let me... [As Chris Rock] Every time... Every time black people want to have a good time, some ignant ass... [Bleep] I take care of my kid!",Michael,Season 1,1x2
347,[Bleep] They always want credit for something they supPOSED to do!,Michael,Season 1,1x2
349,[As Chris Rock] What you want a cookie?,Michael,Season 1,1x2
351,"Excuse me, I'm sorry, but that's not all it takes to be a hero.",Dwight,Season 1,1x2
353,"A hero kills people, people that wish him harm.",Dwight,Season 1,1x2
355,"A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged.",Dwight,Season 1,1x2
357,We all have a hero in our heart.,Dwight,Season 1,1x2
359,[Clears throat] I don't think I can sign this.,Michael,Season 1,1x2
361,"Well, OK, it says here that I learned something and I knew all this stuff already, so... I know, I could sign something that says that I taught something, or that I helped you teach something, so... Pam! Where is she? Pam, could we change something on this?",Michael,Season 1,1x2
363,Sure.,Michael,Season 1,1x2
365,"Here's the thing. This office, I think this is very advanced in terms of... racial awareness and it's probably more advanced than you're used to. That's probably throwing you off a little bit.",Michael,Season 1,1x2
367,"OK, well I know. You told me that several times.",Michael,Season 1,1x2
369,OK.,Michael,Season 1,1x2
371,"Well, here I am thinking that you actually cared about diversity training. And you don't.",Michael,Season 1,1x2
373,I won't.,Michael,Season 1,1x2
375,"Yeah, yeah.",Michael,Season 1,1x2
376,"I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness...' Open-mindedness, is that even a word? '...into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck.' [Laughing] He's going to lose it when he reads that.",Michael,Season 1,1x2
377,"Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you.",Jim,Season 1,1x2
378,"I pledge to always keep an open mind and an open heart.' I do believe... in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look... the guy, 'Mr. Brown,' he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don't. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn't see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I'm going to have you all in tears.",Michael,Season 1,1x2
379,All right? Everybody pretty? Come on. Here we go. It's time. Let's do some good.,Michael,Season 1,1x2
381,Get out.,Michael,Season 1,1x2
383,"No, this is not a joke. OK? That was offensive and lame. So double offensive. This is an environment of welcoming and you should just get the hell out of here. OK, let's go. Let's do it. Come on. Let's have some fun, everybody. Here we go. Take a seat. Cop a squat. And um... thanks for coming in. Um... Diversity... is the cornerstone of progress as I've always said. But don't take my word for it. Let's take a look at the tape.",Michael,Season 1,1x2
384,"[on the tape] Hi. I'm Michael Scott. I'm in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I'm also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, 'If you're a racist, I will attack you with the North.' And those are the principles that I carry with me in the workplace.",Michael,Season 1,1x2
385,OK. Questions? Comments? Anybody? Jim?,Michael,Season 1,1x2
386,": Uh, is that it?",Jim,Season 1,1x2
387,Yes. I only had an hour to put it together but I'm going to add on to it later on.,Michael,Season 1,1x2
389,"Uh, yes. That probably had something to do with the camera work. Anybody else? Um...",Michael,Season 1,1x2
